,Title,Rating,Runtime,IMDB_Score,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,Primetime_x,Release Date,Budget,DomesticGross,WorldwideGross
0,The Revenant,3.0,156.0,8.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,119192522,3711.0,474560,4.0,1.0,2015-12-25,135000000,119202240,223702240
1,The Big Short,3.0,130.0,8.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56713841,2529.0,705527,8.0,1.0,2015-12-11,28000000,56390370,87090370
2,Black Mass,3.0,147.0,8.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,62575678,3188.0,22635037,3188.0,0.0,2015-09-18,53000000,62575678,91987157
3,Straight Outta Compton,3.0,123.0,7.1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,161197785,3142.0,60200180,2757.0,0.0,2015-08-14,28000000,161058685,201042998
4,In the Heart of the Sea,4.0,123.0,7.1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24565757,3103.0,11053366,3103.0,1.0,2015-12-11,100000000,24701780,90101780
5,The Wolf of Wall Street,3.0,180.0,8.2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,116900694,2557.0,18361578,2537.0,1.0,2013-12-25,100000000,116900694,391976723
6,The Walk,4.0,122.0,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10137502,2509.0,1560299,448.0,0.0,2015-09-30,35000000,10137502,51637502
7,Titanic,4.0,194.0,7.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,600788188,3265.0,28638131,2674.0,1.0,1997-12-19,200000000,658672302,2207615668
8,American Sniper,4.0,97.0,5.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,350126372,3885.0,633456,4.0,1.0,2014-12-25,58000000,350126372,547326372
9,The Conjuring,4.0,137.0,7.2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,137400141,3115.0,41855326,2903.0,1.0,2013-07-19,20000000,137400141,318000141
10,American Hustle,3.0,146.0,8.7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,150117807,2629.0,740455,6.0,1.0,2013-12-13,40000000,150117807,257878294
11,Unbroken,3.0,169.0,8.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,115637895,3301.0,30621445,3131.0,1.0,2014-12-25,65000000,115637895,163442936
12,Goodfellas,4.0,141.0,8.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,46836214,1328.0,6368901,1070.0,0.0,1990-09-19,25000000,46261759,46261759
13,The Aviator,3.0,134.0,7.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,102610330,2530.0,858021,40.0,1.0,2004-12-17,110000000,102608827,208370892
14,Saving Private Ryan,3.0,112.0,7.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,216540909,2807.0,30576104,2463.0,1.0,1998-07-24,65000000,216119491,484819491
15,The Vow,4.0,103.0,6.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,125014030,3038.0,41202458,2958.0,0.0,2012-02-10,30000000,125014030,197618160
